env,method,run,env_steps,return
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,119000000.0,2530.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,120000000.0,2590.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,121000000.0,2580.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,122000000.0,2590.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,123000000.0,2590.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,124000000.0,2600.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,125000000.0,2540.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,126000000.0,2560.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,127000000.0,2590.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,128000000.0,2570.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,129000000.0,2550.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,130000000.0,2140.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,131000000.0,1560.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,132000000.0,2590.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,133000000.0,2290.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,134000000.0,1930.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,135000000.0,2550.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,136000000.0,2550.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,137000000.0,2280.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,138000000.0,2520.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,139000000.0,2530.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,140000000.0,2530.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,141000000.0,2520.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,142000000.0,2530.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,143000000.0,2570.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,144000000.0,2560.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,145000000.0,2590.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,146000000.0,2580.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,147000000.0,2520.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,148000000.0,2550.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,149000000.0,2590.0
atari_montezuma_revenge,dreamerv2_g99,atari_montezuma_revenge_dreamerv2_0,150000000.0,2570.0
